x,Curve1,Curve2,Curve3,Curve4
39.0289,0.9466,0.77453,0.6405,0.53834
39.0398,0.94516,0.77327,0.6401,0.53785
39.0535,0.94335,0.77168,0.63959,0.53724
39.3981,0.89825,0.73137,0.62649,0.52128
39.485,0.88714,0.72098,0.62284,0.51685
39.5718,0.8762,0.71045,0.61891,0.51222
39.789,0.84991,0.68358,0.60795,0.50088
39.8542,0.84239,0.67532,0.60474,0.49783
39.9845,0.82787,0.6592,0.59905,0.49267
40.0279,0.82314,0.65446,0.59743,0.49129
40.1799,0.80693,0.63839,0.59271,0.48756
40.3971,0.7842,0.61623,0.58739,0.48365
40.484,0.77518,0.60753,0.58546,0.48193
40.5491,0.76844,0.60106,0.584,0.48038
40.5926,0.76396,0.59676,0.58297,0.47922
40.8749,0.73535,0.56916,0.57594,0.47085
40.9618,0.72701,0.5608,0.57413,0.4685
41.0269,0.72098,0.55458,0.57283,0.46689
41.1138,0.71328,0.54639,0.57111,0.46491
41.3962,0.68916,0.52155,0.56519,0.4593
41.4613,0.68338,0.51612,0.56368,0.45814
41.483,0.6814,0.5143,0.56316,0.45776
41.5482,0.67535,0.50879,0.56157,0.4566
41.8957,0.64309,0.47897,0.55237,0.44812
41.9174,0.64124,0.47711,0.55176,0.44757
41.9391,0.63943,0.47526,0.55116,0.44701
42.3234,0.61028,0.44332,0.54118,0.43719
42.3518,0.60817,0.44105,0.54048,0.43647
42.4386,0.60162,0.4342,0.53834,0.43426
42.8078,0.57325,0.40642,0.5293,0.42492
43.025,0.55717,0.39061,0.52404,0.41948
43.2422,0.54102,0.37432,0.51882,0.41412
43.4377,0.52626,0.3591,0.51417,0.40941
43.4811,0.52296,0.35569,0.51315,0.40839
43.7852,0.49981,0.33193,0.5061,0.40169
43.9589,0.48654,0.31842,0.5023,0.39867
44.0458,0.47989,0.3117,0.50051,0.39598
44.0675,0.47822,0.31003,0.50008,0.39561
44.0892,0.47656,0.30836,0.49966,0.39526
44.3064,0.45989,0.29174,0.49536,0.39124
44.5236,0.44328,0.27511,0.48973,0.38629
44.5453,0.44164,0.27344,0.48914,0.38577
44.567,0.44,0.27176,0.48856,0.38524
44.8276,0.42039,0.25153,0.48193,0.3786
45.0448,0.40404,0.23456,0.4773,0.3729
45.11,0.3991,0.22945,0.47602,0.37117
45.3489,0.38081,0.21079,0.47119,0.36484
45.5009,0.36912,0.19931,0.46761,0.36082
45.566,0.36411,0.19453,0.46596,0.35911
45.8049,0.34577,0.17747,0.45955,0.353
45.8701,0.34077,0.17286,0.45776,0.35142
46.1307,0.32077,0.15424,0.45068,0.34587
46.3262,0.30578,0.13968,0.44581,0.34226
46.3913,0.30079,0.13467,0.44433,0.34078
46.5868,0.28585,0.11933,0.44029,0.33585
46.8474,0.266,0.09871,0.43503,0.32883
46.9126,0.26104,0.09359,0.43358,0.32709
47.0646,0.24948,0.08172,0.42982,0.32386
47.0863,0.24783,0.08004,0.42925,0.32346
47.1515,0.24288,0.07502,0.42748,0.32222
47.4121,0.22287,0.05512,0.42015,0.31702
47.5207,0.21456,0.0468,0.41715,0.31469
47.6076,0.20796,0.04009,0.41479,0.31271
47.9116,0.18277,0.01629,0.40672,0.30444
47.9465,0.1799,0.01354,0.4058,0.30335
48.0149,0.17428,0.00815,0.404,0.30118
